,Name,Surname,Department,Start Date
68,Oscar,Copeland,Finances,2018-05-28
69,Judah,Sloan,Media Relations,2018-05-31
70,Alma,Ford,Quality Assurance,2018-05-31
71,Bert,Burke,Software Development,2018-06-01
72,Leilani,Ayala,Legal Department,2018-06-08
73,Patience,Mann,Quality Assurance,2018-06-08
74,Samantha,Lee,Sales and Marketing,2018-06-11
75,Kirsten,Bernard,IT Support,2018-06-13
76,Amery,Gardner,IT Support,2018-06-16
77,Jonah,Mcdowell,Software Development,2018-06-19
78,Myra,Chambers,Data Analysis,2018-06-20
79,Jaden,Lowe,Customer Service,2018-06-24
80,Heather,Warren,Data Analysis,2018-07-02
81,Abigail,Bishop,Human Resources,2018-07-03
82,Dominic,Barlow,Customer Relations,2018-07-04
83,Ferris,Benton,Finances,2018-07-05
84,Lynn,Fowler,Sales and Marketing,2018-07-12
85,Jasmine,Howard,Public Relations,2018-07-13
86,Jameson,Rowland,Customer Relations,2018-07-13
87,Alfreda,Ryan,DevOps,2018-07-13
88,Benjamin,Vang,Asset Management,2018-07-16
89,Quon,Figueroa,Payroll,2018-07-17
90,Audra,Reyes,Advertising,2018-07-22
91,Branden,Hammond,DevOps,2018-07-24
92,Gregory,Berger,Customer Relations,2018-07-25
93,Cailin,Mills,Data Analysis,2018-07-27
94,Duncan,Lowery,Customer Service,2018-07-27
95,Sigourney,Cameron,Public Relations,2018-07-27
96,Ivana,Bowen,Software Development,2018-07-29
97,Henry,Bullock,Software Development,2018-08-01
98,Hedley,Phelps,Advertising,2018-08-01
99,Asher,Sawyer,Research and Development,2018-08-01
100,Josiah,Stuart,Quality Assurance,2018-08-01
101,Uriah,Moss,Customer Service,2018-08-03
102,Carolyn,Whitney,Media Relations,2018-08-05
103,Mary,Eaton,Data Analysis,2018-08-11
104,Beverly,Vasquez,Customer Relations,2018-08-12
105,Tatyana,Perkins,Customer Relations,2018-08-15
106,Ali,Tate,Data Analysis,2018-08-18
107,Ian,Petty,Payroll,2018-08-19
108,Hyacinth,Holman,Legal Department,2018-08-23
109,Maris,Rivera,Asset Management,2018-08-30
110,Lucas,Myers,Data Analysis,2018-09-02
111,Jamalia,Clarke,Sales and Marketing,2018-09-06
112,Nicholas,Neal,Finances,2018-09-08
113,Hyacinth,Mack,Legal Department,2018-09-08
114,Holmes,Kent,Advertising,2018-09-08
115,Grady,Charles,Customer Service,2018-09-13
116,Kelly,Byrd,Research and Development,2018-09-14
117,Yoko,Gray,Legal Department,2018-09-16
118,Beck,Padilla,Quality Assurance,2018-09-21
119,Leilani,May,DevOps,2018-09-22
120,Bethany,Byers,Advertising,2018-09-25
121,Oleg,Williamson,Sales and Marketing,2018-09-27
122,Lars,Roth,Legal Department,2018-09-28
123,Branden,Cabrera,Customer Relations,2018-09-29
124,Rigel,Stafford,Asset Management,2018-10-02
125,Savannah,Wise,Data Analysis,2018-10-04
126,Simone,Cash,Payroll,2018-10-06
127,Wesley,Crane,Customer Relations,2018-10-07
128,Rashad,Mcconnell,Legal Department,2018-10-08
129,James,Schwartz,DevOps,2018-10-11
130,Olga,Vincent,Media Relations,2018-10-12
131,Price,Ferrell,Customer Relations,2018-10-13
132,Reese,Franks,Advertising,2018-10-14
133,Arthur,Bradley,DevOps,2018-10-18
134,Lane,Mendoza,Asset Management,2018-10-19
135,Clementine,Ford,Quality Assurance,2018-10-20
136,Ryan,Garrett,IT Support,2018-10-26
137,Yoshio,Pittman,Asset Management,2018-11-01
138,Jescie,Bray,Finances,2018-11-03
139,Felix,Hunt,Advertising,2018-11-14
140,Plato,Taylor,Customer Service,2018-11-14
141,Hedwig,Bullock,Software Development,2018-11-17
142,Sage,Frye,Accounting,2018-11-30
143,Ronan,Daugherty,Data Analysis,2018-12-04
144,Paula,Norris,Public Relations,2018-12-06
145,Ezra,Santos,Human Resources,2018-12-07
146,Laura,Chan,Research and Development,2018-12-08
147,Oleg,Love,Advertising,2018-12-09
148,Lawrence,Berger,Data Analysis,2018-12-09
149,Fallon,Neal,Accounting,2018-12-10
150,Ralph,Griffith,Customer Relations,2018-12-11
151,Tana,Calhoun,Payroll,2018-12-12
152,Kessie,Rutledge,Payroll,2018-12-14
153,Isabelle,Harper,Public Relations,2018-12-18
154,Neil,Orr,Payroll,2018-12-22
155,Gwendolyn,Castillo,Accounting,2018-12-24
156,Carter,Cummings,Customer Service,2018-12-25
157,Zelda,Deleon,Accounting,2018-12-27
158,George,Frazier,Advertising,2018-12-28
159,Kibo,Barron,Payroll,2018-12-30
160,Lucy,Calhoun,Accounting,2019-01-05
161,Macon,Livingston,Legal Department,2019-01-11
162,Curran,Farley,Human Resources,2019-01-12
163,Lucius,Glass,Advertising,2019-01-13
164,Michael,Pickett,Software Development,2019-01-14
165,Andrew,Donaldson,Software Development,2019-01-15
166,Richard,Dillon,Software Development,2019-01-19
167,Clare,Saunders,Research and Development,2019-01-21
168,Ainsley,Knight,Accounting,2019-01-21
169,Fleur,Baker,Legal Department,2019-01-26
170,Casey,Gross,Customer Service,2019-01-26
171,Felix,Parks,Data Analysis,2019-01-29
172,Logan,Sharp,Sales and Marketing,2019-02-03
173,Eve,Meyer,Software Development,2019-02-04
174,Neil,Warner,Media Relations,2019-02-05
175,Kylan,Spencer,Quality Assurance,2019-02-11
176,Adara,Mclaughlin,Data Analysis,2019-02-12
177,Diana,Mccall,Quality Assurance,2019-02-14
178,Knox,Williamson,Customer Relations,2019-02-15
179,Nathaniel,Puckett,Asset Management,2019-02-17
180,Keane,Greer,Public Relations,2019-02-18
181,May,Oliver,Software Development,2019-02-20
182,Dana,Harrington,IT Support,2019-02-21
183,Gavin,Garrett,Legal Department,2019-02-23
184,Lucy,Wade,Research and Development,2019-02-25
185,Malachi,Mccullough,Public Relations,2019-02-27
186,Phyllis,Miller,Finances,2019-02-28
187,Martin,Dalton,Legal Department,2019-03-03
188,Gage,Vega,DevOps,2019-03-04
189,Benjamin,Blake,Quality Assurance,2019-03-05
190,Xerxes,James,Data Analysis,2019-03-06
191,Anne,Giles,Customer Relations,2019-03-11
192,Fay,Schroeder,Sales and Marketing,2019-03-15
193,Keaton,Edwards,Customer Service,2019-03-17
194,Sheila,Richards,Advertising,2019-03-18
195,Jelani,Fernandez,Software Development,2019-03-22
196,Walker,Cline,Public Relations,2019-03-27
197,Eleanor,Dorsey,Human Resources,2019-03-29
198,Kelly,Dillon,Software Development,2019-03-30
199,Denise,Wilkins,Customer Relations,2019-03-30
200,Lucas,Fuentes,Asset Management,2019-04-05
201,Taylor,Butler,Legal Department,2019-04-07
202,Raven,Benton,Advertising,2019-04-09
203,Dana,Miles,Customer Service,2019-04-10
204,Hayden,Pollard,Customer Relations,2019-04-13
205,Rogan,Miranda,Payroll,2019-04-15
206,Jessamine,Myers,Sales and Marketing,2019-04-18
207,Scott,Nelson,Accounting,2019-04-24
208,Kylan,Mccormick,Public Relations,2019-04-26
209,Darryl,Levy,Human Resources,2019-04-30
210,Chancellor,Kline,Software Development,2019-05-01
211,Stewart,Todd,Public Relations,2019-05-01
212,Jenna,Odom,Sales and Marketing,2019-05-02
213,Devin,Foley,Accounting,2019-05-04
214,Vaughan,English,Asset Management,2019-05-06
215,Paul,Spears,Finances,2019-05-06
216,Rudyard,Williamson,Accounting,2019-05-06
217,Ryder,Adams,IT Support,2019-05-07
218,Chase,Chandler,Human Resources,2019-05-10
219,Lionel,Wells,Advertising,2019-05-14
220,Nathan,Mays,Software Development,2019-05-20
221,Lydia,Mills,Quality Assurance,2019-05-23
222,Nell,Ewing,Accounting,2019-05-23
223,Honorato,Solomon,Customer Service,2019-05-24
224,Audra,Cobb,Research and Development,2019-05-26
225,Neville,Ball,DevOps,2019-05-26
226,Otto,Bird,IT Support,2019-05-28
227,Venus,Love,Legal Department,2019-05-28
228,David,Lamb,Legal Department,2019-05-29
229,Allistair,Mcdaniel,Accounting,2019-06-01
230,Wyoming,Pacheco,Advertising,2019-06-02
231,Belle,Lane,Data Analysis,2019-06-02
232,Audra,Horn,Media Relations,2019-06-03
233,Kennedy,Harrington,Customer Relations,2019-06-06
234,Miranda,Vasquez,Asset Management,2019-06-08
235,Adrienne,Higgins,Asset Management,2019-06-08
236,Keane,Randall,Software Development,2019-06-19
237,Hu,Simpson,Sales and Marketing,2019-06-27
238,Eric,Giles,Advertising,2019-07-01
239,Harding,Mcmillan,Quality Assurance,2019-07-04
240,Linus,Perry,Data Analysis,2019-07-05
241,Haviva,Morrow,Research and Development,2019-07-08
242,Fritz,Tanner,Quality Assurance,2019-07-08
243,Hayden,Puckett,IT Support,2019-07-09
244,Desirae,Cash,Data Analysis,2019-07-09
245,Eleanor,Hood,Accounting,2019-07-09
246,Thaddeus,Hughes,Public Relations,2019-07-14
247,Darrel,Mccray,Customer Service,2019-07-19
248,Baxter,Combs,Customer Service,2019-07-20
249,Brenda,Barton,IT Support,2019-07-22
250,Morgan,Massey,Data Analysis,2019-07-26
251,Teagan,Dodson,Accounting,2019-07-30
252,Wesley,Weaver,Asset Management,2019-07-30
253,Hoyt,Kramer,DevOps,2019-08-01
254,Madonna,Perkins,Data Analysis,2019-08-02
255,Orlando,Stanley,Advertising,2019-08-04
256,Xaviera,Carlson,Data Analysis,2019-08-05
257,Xaviera,Spence,Human Resources,2019-08-06
258,Serena,Hodge,Customer Relations,2019-08-06
259,Constance,Rocha,Human Resources,2019-08-13
260,Isabelle,Jefferson,Data Analysis,2019-08-15
261,Rosalyn,Bullock,Human Resources,2019-08-19
262,Linda,Figueroa,Payroll,2019-08-19
263,Carson,Finley,DevOps,2019-08-20
264,Aladdin,Knight,Sales and Marketing,2019-08-23
265,Malcolm,Harvey,Customer Service,2019-08-23
266,Amelia,Bowen,DevOps,2019-08-24
267,Zeus,Kirk,Advertising,2019-08-24
268,Ella,Sloan,Quality Assurance,2019-08-24
269,Brendan,Pugh,Quality Assurance,2019-08-25
270,Alexander,Dillard,Research and Development,2019-08-28
271,Quintessa,Ramsey,Finances,2019-08-31
272,Georgia,Larson,Finances,2019-09-01
273,Adrienne,Dalton,Payroll,2019-09-02
274,Fatima,Robinson,Legal Department,2019-09-06
275,Cherokee,Dillard,Customer Service,2019-09-06
276,Ruby,Travis,Accounting,2019-09-08
277,Maile,Hughes,Legal Department,2019-09-11
278,Benedict,Mathis,Customer Relations,2019-09-13
279,Eric,Blackburn,Asset Management,2019-09-17
280,Nigel,Oneill,Quality Assurance,2019-09-19
281,Elvis,Davidson,Finances,2019-09-19
282,Jason,Meyer,Customer Service,2019-09-26
283,Roanna,Barry,Legal Department,2019-09-28
284,Justina,Hogan,Software Development,2019-09-29
285,Aurelia,Campbell,Asset Management,2019-10-01
286,Anjolie,Powell,IT Support,2019-10-01
287,Marsden,Oneill,Human Resources,2019-10-02
288,Candice,Malone,Public Relations,2019-10-03
289,Quamar,Stewart,Media Relations,2019-10-04
290,Darius,Goodman,Legal Department,2019-10-06
291,Idola,Warren,Customer Relations,2019-10-15
292,Lesley,Fuentes,Quality Assurance,2019-10-16
293,Hu,Hyde,Customer Service,2019-10-16
294,Justin,Dalton,Payroll,2019-10-17
295,Mary,Molina,Payroll,2019-10-18
296,Carol,Weiss,Legal Department,2019-10-22
297,Evangeline,Cooley,Payroll,2019-10-31
298,Hayes,Whitley,Media Relations,2019-10-31
299,Ciaran,Chavez,Sales and Marketing,2019-11-07
300,Britanni,Burgess,DevOps,2019-11-11
301,Fatima,Kerr,IT Support,2019-11-16
302,Yetta,Thomas,Sales and Marketing,2019-11-19
303,Slade,Roman,Asset Management,2019-11-20
304,Macy,Walls,DevOps,2019-11-22
305,Cally,Gilmore,Media Relations,2019-11-24
306,MacKenzie,Murphy,Research and Development,2019-11-26
307,Kiara,Farrell,Research and Development,2019-11-27
308,Lilah,Hanson,DevOps,2019-12-01
309,Micah,Bentley,Public Relations,2019-12-04
310,Cade,Grant,Media Relations,2019-12-09
311,Megan,Reed,Public Relations,2019-12-11
312,Karyn,Roy,Payroll,2019-12-13
313,Ulla,Fulton,Human Resources,2019-12-13
314,Emi,William,Sales and Marketing,2019-12-15
315,Shellie,Poole,Research and Development,2019-12-15
316,George,William,DevOps,2019-12-19
317,Wynne,Anthony,IT Support,2019-12-20
318,Phelan,Fields,Quality Assurance,2019-12-27
319,Deacon,Blevins,Quality Assurance,2019-12-31
320,Yoshi,Molina,Sales and Marketing,2020-01-02
321,Tasha,Hodge,Customer Service,2020-01-04
322,Ruby,Richard,Asset Management,2020-01-05
323,Margaret,Hooper,Asset Management,2020-01-05
324,Lyle,Schultz,Legal Department,2020-01-08
325,Roth,Foster,Accounting,2020-01-09
326,Leigh,Willis,Data Analysis,2020-01-13
327,Tanek,Burton,Accounting,2020-01-13
328,Kyla,Gay,Payroll,2020-01-13
329,Brynn,Miles,Research and Development,2020-01-14
330,Lane,Newman,Customer Service,2020-01-14
331,Rose,Compton,Sales and Marketing,2020-01-16
332,Connor,Grimes,Asset Management,2020-01-19
333,Hedwig,Cain,Legal Department,2020-01-20
334,Hillary,Vega,DevOps,2020-01-23
335,Olivia,Frederick,Finances,2020-01-24
336,Xandra,Gonzalez,Research and Development,2020-01-24
337,Jesse,Wade,Research and Development,2020-01-25
338,Thane,Rich,Customer Relations,2020-01-26
339,Keefe,Logan,Payroll,2020-01-28
340,Colin,Maddox,Payroll,2020-02-05
341,Ivan,Dillard,Public Relations,2020-02-06
342,Desirae,Gaines,Advertising,2020-02-09
343,Ivory,Mccullough,DevOps,2020-02-11
344,Iona,Mckee,Finances,2020-02-15
345,Lee,Jacobs,Customer Relations,2020-02-17
346,Giacomo,Duffy,Quality Assurance,2020-02-26
347,Stewart,Simmons,Human Resources,2020-02-29
348,Janna,Green,Accounting,2020-03-04
349,Tobias,Mcleod,Advertising,2020-03-05
350,Laith,Moreno,Accounting,2020-03-07
351,Kane,Rosa,Software Development,2020-03-09
352,Mannix,Estes,Accounting,2020-03-09
353,Rhiannon,Dodson,Customer Service,2020-03-09
354,Josiah,Morrow,Customer Service,2020-03-09
355,TaShya,Pruitt,Research and Development,2020-03-10
356,Zeph,English,Sales and Marketing,2020-03-10
357,Gretchen,Holden,Accounting,2020-03-12
358,Drake,English,Media Relations,2020-03-12
359,Amaya,Mercado,DevOps,2020-03-13
360,Aidan,Schroeder,Public Relations,2020-03-13
361,Amela,Grant,Quality Assurance,2020-03-15
362,Fiona,Montoya,IT Support,2020-03-24
363,Kay,Pratt,Public Relations,2020-03-24
364,Tate,Chang,IT Support,2020-03-27
365,Linus,Cantrell,DevOps,2020-04-04
366,Garrison,Keith,DevOps,2020-04-13
367,Giselle,Chavez,Accounting,2020-04-14
368,Jermaine,Newman,DevOps,2020-04-18
369,Halla,Cantu,IT Support,2020-04-22
370,Vera,Carver,Asset Management,2020-04-22
371,Kaden,Moon,IT Support,2020-04-23
372,Giselle,Dillon,Advertising,2020-04-24
373,Bradley,Chandler,Accounting,2020-04-26
374,Jennifer,Murphy,Customer Relations,2020-04-29
375,Jack,Franco,DevOps,2020-05-03
376,Oleg,Noble,Media Relations,2020-05-07
377,Lavinia,Whitfield,Finances,2020-05-10
378,Kalia,Perez,Software Development,2020-05-13
379,Rafael,Vaughan,Advertising,2020-05-13
380,Raymond,Pate,Accounting,2020-05-16
381,Bruno,Wallace,Human Resources,2020-05-17
382,Aurora,Macias,Public Relations,2020-05-19
383,Gemma,Booker,Legal Department,2020-05-22
384,Blake,Franco,Sales and Marketing,2020-05-28
385,Kyle,Roach,Customer Relations,2020-06-02
386,Tanek,Edwards,DevOps,2020-06-04
387,Liberty,Pena,Advertising,2020-06-06
388,Kyra,Vance,Data Analysis,2020-06-10
389,Kiona,Nguyen,Data Analysis,2020-06-11
390,Aurora,Sanford,Asset Management,2020-06-13
391,Jarrod,Nicholson,Payroll,2020-06-20
392,Nicholas,Brock,Quality Assurance,2020-06-24
393,Katell,Gill,Media Relations,2020-06-25
394,Quynn,Parsons,Advertising,2020-06-25
395,Melanie,David,Software Development,2020-06-27
396,Jordan,Golden,Finances,2020-06-27
397,Xyla,Ferrell,Human Resources,2020-06-28
398,Kelsey,Adkins,Accounting,2020-06-29
399,Grant,Daugherty,Public Relations,2020-06-30
